💚	green heart	Smileys & Emotion	heart	green|heart	0
💙	blue heart	Smileys & Emotion	heart	blue|heart	0
🩵	light blue heart	Smileys & Emotion	heart	blue|heart|light	0
💜	purple heart	Smileys & Emotion	heart	heart|purple	0
🤎	brown heart	Smileys & Emotion	heart	brown|heart	0
🖤	black heart	Smileys & Emotion	heart	black|heart	0
🩶	grey heart	Smileys & Emotion	heart	grey|heart	0
🤍	white heart	Smileys & Emotion	heart	heart|white	0
💋	kiss mark	Smileys & Emotion	emotion	kiss|mark	0
💯	hundred points	Smileys & Emotion	emotion	100|hundred|perfect|points|score	0
💢	anger symbol	Smileys & Emotion	emotion	anger|symbol	0
💥	collision	Smileys & Emotion	emotion	boom|collision	0
💫	dizzy	Smileys & Emotion	emotion	dizzy	0
💦	sweat droplets	Smileys & Emotion	emotion	droplets|drops|sweat	0
💨	dashing away	Smileys & Emotion	emotion	away|dash|dashing	0
🕳️	hole	Smileys & Emotion	emotion	hole	0
💬	speech balloon	Smileys & Emotion	emotion	balloon|speech	0
👁️‍🗨️	eye in speech bubble	Smileys & Emotion	emotion	bubble|eye|speech	0
🗨️	left speech bubble	Smileys & Emotion	emotion	bubble|left|speech	0
🗯️	right anger bubble	Smileys & Emotion	emotion	anger|bubble|right	0
💭	thought balloon	Smileys & Emotion	emotion	balloon|thought	0
💤	ZZZ	Smileys & Emotion	emotion	zzz	0
👋	waving hand	People & Body	hand-fingers-open	hand|wave|waving	0
🤚	raised back of hand	People & Body	hand-fingers-open	back|hand|raised	0
🖐️	hand with fingers splayed	People & Body	hand-fingers-open	fingers|hand|raised|splayed|with	0
✋	raised hand	People & Body	hand-fingers-open	hand|raised	0
🖖	vulcan salute	People & Body	hand-fingers-open	salute|vulcan	0
🫱	rightwards hand	People & Body	hand-fingers-open	hand|rightwards	0
🫲	leftwards hand	People & Body	hand-fingers-open	hand|leftwards	0
🫳	palm down hand	People & Body	hand-fingers-open	down|hand|palm	0
🫴	palm up hand	People & Body	hand-fingers-open	hand|palm	0
🫷	leftwards pushing hand	People & Body	hand-fingers-open	hand|leftwards|pushing	0
🫸	rightwards pushing hand	People & Body	hand-fingers-open	hand|pushing|rightwards	0
